id,ref,name
residence_345,345,"KORIMATE"
residence_346,346,"FOUM ZGUID"
residence_347,347,"MAKNAFA"
residence_348,348,"OULAD AMRANE"
residence_349,349,"IJOUKAK"
residence_350,350,"IKNIOUEN"
residence_351,351,"TINZOULINE"
residence_352,352,"DOUIRANE ARBAA"
residence_353,353,"IMI-N-TANOUTE"
residence_354,354,"IMFOUT"
residence_355,355,"TAGHZOUTE N'AIT ATTA"
residence_356,356,"ZAOUIA SIDI ZOUINE"
residence_357,357,"LOULAD  -TLATA"
residence_358,358,"HRARA"
residence_359,359,"SEMLALIA"
residence_360,360,"SOUIHLA"
residence_361,361,"YOUSSOUFIA"
residence_362,362,"ADASSIL"
residence_363,363,"MHAMID EL GHIZLANE"
residence_364,364,"ESSAOUIRA"
residence_365,365,"EL HANCHANE"
residence_366,366,"OUARZAZATE"
residence_367,367,"OURIKA -TNINE-"
residence_368,368,"OUIRGANE"
residence_369,369,"TIZGINE"
residence_370,370,"TIZI N'TEST"
residence_371,371,"TOUAMA"
residence_372,372,"MALESIE"
residence_373,373,"AIT AMIRA"
residence_374,374,"TILMI"
residence_375,375,"SAFI"
residence_376,376,"SIDI CHIKER"
residence_377,377,"M'SEMRIR"
residence_378,378,"ABDALLAH RHIAT"
residence_379,379,"SIDI AHMED"
residence_380,380,"SIDI MOKHTAR"
residence_381,381,"SIDI RAHAL"
residence_382,382,"SKHOUR RHAMNA"
residence_383,383,"SKOURA"
residence_384,384,"TAZZARTE"
residence_385,385,"TOUNDOUTE"
residence_386,386,"TADDART"
residence_387,387,"HAD DRAA"
residence_388,388,"SEBT GZOULA"
residence_389,389,"IMIN-N-OULAOUEN"
residence_390,390,"TAHANNAOUTE"
residence_391,391,"TAGOUNITE"
residence_392,392,"BANGKOK"
residence_393,393,"TALAAT-N-YACOUB"
residence_394,394,"TALIOUINE"
residence_395,395,"LALLA TAKARKOUST"
residence_396,396,"TALMESTE"
residence_397,397,"JEMAAT SHAIM"
residence_398,398,"TAMANAR"
residence_399,399,"TAMALLALT"
residence_400,400,"TELOUET"
residence_401,401,"IMINI"
residence_402,402,"SIDI BOUBKER"
residence_403,403,"KHATTAZAKANE ARBAA"
residence_404,404,"TAZARINE"
residence_405,405,"TAZNAKHT"
residence_406,406,"M'ZEM SANHAJA"
residence_407,407,"MRAMER"
residence_408,408,"TAKATE"
residence_409,409,"IDA-OU-TROUMA"
residence_410,410,"TAMESLOHT"
residence_411,411,"ASSAHRIJ"
residence_412,412,"EL-MA BARED -JEMAA-"
residence_413,413,"TOUABET -HAD-"
residence_414,414,"TINGHIR"
residence_415,415,"DEN BOSCH"
residence_416,416,"THAILANDE"
residence_417,417,"MJAARA"
residence_418,418,"BOUGUEDRA"
residence_419,419,"GHAZZA ( ETAT DE PALESTINE )"
residence_420,420,"TEL AVIV"
residence_421,421,"VATICAN"
residence_422,422,"TOUFLIHTE"
residence_423,423,"FAHS BNI MAKADA"
residence_424,424,"TINDITE"
residence_425,425,"ZAGORA"
residence_426,426,"BELFAA"
residence_427,427,"MEXICO"
residence_428,428,"SANTIAGO"
residence_429,429,"ILMGUERT"
residence_430,430,"CASA MLY RACHID SIDI OTMANE"
residence_431,431,"BNI GMIL"
residence_432,432,"M'TIOUA"
residence_433,433,"BNI ZIAZE"
residence_434,434,"ISSAGUEN"
residence_435,435,"BNI BOUZRA"
residence_436,436,"ABDELGHAYA SOUAHEL"
residence_437,437,"TIZTOUTINE"
residence_438,438,"ARBAA TAOURIRT"
residence_439,439,"SOUK TOLBA"
residence_440,440,"BNI ABDELLAH"
residence_441,441,"TABARRANT"
residence_442,442,"LOUTA"
residence_443,443,"IMRABTEN"
residence_444,444,"TORRES EL-KELAA"
residence_445,445,"IKSANE"
residence_446,446,"AIT YOUSSEF OU ALI"
residence_447,447,"AJDIR"
residence_448,448,"JBEL (TLETA)"
residence_449,449,"BNI BOUNSAR"
residence_450,450,"BNI CHIKER"
residence_451,451,"SENADA"
residence_452,452,"TAFERSIT"
residence_453,453,"RIF"
residence_454,454,"KARIAT ARKMANE"
residence_455,455,"BNI OURIARHEL"
residence_456,456,"BNI AMMART"
residence_457,457,"MELILIA"
residence_458,458,"BNI TOUZINE"
residence_459,459,"BNI BOUFRAH"
residence_460,460,"MIDAR"
residence_461,461,"BNI HADIFA"
residence_462,462,"BEN TAIEB"
residence_463,463,"DRIOUCH"
residence_464,464,"ZAIO"
residence_465,465,"BNI ANSAR"
residence_466,466,"KEBDANA"
residence_467,467,"FARKHANA"
residence_468,468,"SEMSA"
residence_469,469,"MALLALIENNE"
residence_470,470,"BENI SIDEL"
residence_471,471,"ASMATEN"
residence_472,472,"MAAZOUZA"
residence_473,473,"SELOUANE"
residence_474,474,"AL-HOCEIMA"
residence_475,475,"KSAR SGHIR"
residence_476,476,"CHEFCHAOUEN"
residence_477,477,"BAB BERRED"
residence_478,478,"M'DIQ"
residence_479,479,"OUED LAOU"
residence_480,480,"TAGHZOUT"
residence_481,481,"FNIDQ"
residence_482,482,"TARGUIST"
residence_483,483,"ZOUADA"
residence_484,484,"BOUARG"
residence_485,485,"TALAMBOTE"
residence_486,486,"FIFI"
residence_487,487,"JEBHA"
residence_488,488,"GUELAIA"
residence_489,489,"BAB TAZA"
residence_490,490,"ABDELLATINE"
residence_491,491,"MESRA"
residence_492,492,"FAHS"
residence_493,493,"BNI IDDER"
residence_494,494,"DAR CHAOUI"
residence_495,495,"JBALA"
residence_496,496,"TATOFT"
residence_497,497,"ZAOUIAT SIDI KACEM"
residence_498,498,"ASSIFANE"
residence_499,499,"BNI GARFETT"
residence_500,500,"MEKNES"
residence_501,501,"AGUELMOUS"
residence_502,502,"AGOURAI"
residence_503,503,"ARHBALOU-N-SERDOUN"
residence_504,504,"HAJHOUJ"
residence_505,505,"MHAYA -TNINE-"
residence_506,506,"AIN GUEDDID"
residence_507,507,"AIN JEMAA"
residence_508,508,"AIN-LEUH"
residence_509,509,"AIN EL-ORMA"
residence_510,510,"AIN TAOUJDATE"
residence_511,511,"AIN LOULA"
residence_512,512,"AIT HANI"
residence_513,513,"AZOUGAR"
residence_514,514,"BOLOGNE"
residence_515,515,"HELSINKI"
residence_516,516,"CASA MECHOUAR"
residence_517,517,"AIT YAZEM"
residence_518,518,"SALA AL JADIDA"
residence_519,519,"WILAYA DE SOUSS-MASSA-DRAA"
residence_520,520,"ALNIF"
residence_521,521,"AMELLAGOU"
residence_522,522,"AMOUGUER"
residence_523,523,"WILAYA TAZA-HOUCEIMA-TAOUNATE"
residence_524,524,"WILAYA DE TADLA AZILAL"
residence_525,525,"AGHBALOU-N'KERDOUS"
residence_526,526,"WILAYA DE GUELMIM-ES-SEMARA"
residence_527,527,"ASRIR"
residence_528,528,"WILAYA GHARB-CHARARDA-BENI HAS"
residence_529,529,"WILAYA DE LAAYOUNE-BOUJDOUR-SA"
residence_530,530,"ASSOUL"
residence_531,531,"AZROU"
residence_532,532,"TIMAHDITE"
residence_533,533,"BNI MERAAZ"
residence_534,534,"BUDAPEST"
residence_535,535,"BEN-SMIM"
residence_536,536,"BNI TADJITE"
residence_537,537,"BOU-IZOURANE"
residence_538,538,"WILAYA DE MEKNES-TAFILALET"
residence_539,539,"WILAYA OUED ED-DAHAB-LAGOUIRA"
residence_540,540,"WILAYA DE DOUKKALA-ABDA"
residence_541,541,"WILAYA DE CHAOUIA-OUARDIGHA"
residence_542,542,"BOUANANE"
residence_543,543,"BOUDNIB"
residence_544,544,"BOUFEKRANE"
residence_548,548,"EL-HAJEB"
residence_549,549,"EL HAMMAM"
residence_550,550,"EL KBAB"
residence_551,551,"ARFOUD"
residence_552,552,"GUERROUANE"
residence_553,553,"GOULMIMA"
residence_554,554,"GOURRAMA"
residence_555,555,"HAJ KADDOUR"
residence_556,556,"KAF NSOUR"
residence_557,557,"ZAOUIAT SIDI HAMZA"
residence_559,559,"IFRANE"
residence_561,561,"IMILCHIL"
residence_562,562,"ITZER"
residence_563,563,"MIDKANE"
residence_564,564,"KERRANDO"
residence_565,565,"KERROUCHEN"
residence_566,566,"KHENIFRA"
residence_567,567,"MOHA OU HAMOU ZAYANI"
residence_568,568,"ERRACHIDIA"
residence_569,569,"TIGLMAMINE"
residence_570,570,"IMZOUREN"
residence_571,571,"AGOUDIM"
residence_572,572,"MIBLADEN"
residence_573,573,"MRIRT"
residence_574,574,"MIDELT"
residence_575,575,"MOULAY BOUAZZA"
residence_576,576,"MOULAY DRISS ZERHOUN"
residence_577,577,"NZALAT BNI AMAR"
residence_578,578,"JOUHANNESBURG AFRIQUE DU SUD"
residence_579,579,"LKHENG"
residence_580,580,"OUAD JDIDA"
residence_581,581,"OUED JEMAA"
residence_585,585,"OULAD YOUSSEF"
residence_586,586,"OULAD SLIM"
residence_587,587,"RAS JERRI"
residence_590,590,"ER-RICH"
residence_591,591,"ER-RISSANI"
residence_592,592,"SAFSAF"
residence_594,594,"SIDI YAHYA OU SAAD"
residence_601,601,"AOUFOUS"
residence_603,603,"ET-TAOUS"
residence_609,609,"TINEJDAD"
residence_612,612,"TOUNFITE"
residence_615,615,"VOLUBILIS"
residence_621,621,"BOUMIA"
residence_622,622,"ZAGGOTA"
residence_623,623,"JORF"
residence_624,624,"AOULI"
residence_626,626,"AMZOUJ"
residence_631,631,"DKHISSA"
residence_634,634,"TOULAL"
residence_639,639,"SEBAA AIOUN"
residence_643,643,"AZROU-N-AIT-LAHCEN"
residence_644,644,"AIT ISHAQ"
residence_645,645,"TALSINT"
residence_650,650,"LAAYOUNE"
residence_651,651,"BOUKRAA"
residence_652,652,"BOUJDOUR"
residence_653,653,"DAOURA"
residence_654,654,"EL HAGOUNIA"
residence_655,655,"DCHEIRA"
residence_656,656,"BIR ANZARANE"
residence_657,657,"GUELTAT ZEMMOUR"
residence_659,659,"DAKHLA"
residence_660,660,"ES-SEMARA"
residence_661,661,"MAHBES"
residence_662,662,"JDIRIYA"
residence_663,663,"AMGALA"
residence_664,664,"TIFARITI"
residence_665,665,"HAOUZA"
residence_666,666,"FARCIA"
residence_667,667,"IMLILI"
residence_668,668,"TOUIZGUI"
residence_670,670,"MALLOUSSA"
residence_672,672,"GZENAYA"
residence_673,673,"LAAOUAMA"
residence_674,674,"AL BAHRAOYINE"
residence_675,675,"AYACHA"
residence_676,676,"BNI AROUSS"
residence_677,677,"SIDI LYAMANI"
residence_679,679,"BNI HASSAN"
residence_680,680,"BNI AHMED"
residence_681,681,"KSAR EL KEBIR"
residence_682,682,"SAHEL"
residence_683,683,"DERKOUL"
residence_684,684,"IZEMMOUREN"
residence_686,686,"DAR SELLOUM"
residence_687,687,"RISSANA"
residence_688,688,"LAOUAMRA"
residence_691,691,"ROUADI"
residence_700,700,"RABAT"
residence_701,701,"TEKNA"
residence_702,702,"KCEIBYA"
residence_703,703,"SIDI BOUSBER"
residence_704,704,"SIDI BOUBKER EL HADJ"
residence_705,705,"AIN DFALI"
residence_706,706,"AIN ATTIG"
residence_707,707,"AIN EL-AOUDA"
residence_708,708,"AIN BEIDA"
residence_709,709,"AIN DORIJ"
residence_710,710,"AIT OURIBEL"
residence_711,711,"BENMANSOUR"
residence_712,712,"KUALA LUMPUR"
residence_713,713,"SEOUL"
residence_714,714,"MANAMA"
residence_715,715,"ARBAOUA"
residence_716,716,"DACCA"
residence_718,718,"BRIKCHA"
residence_719,719,"STEHA"
residence_723,723,"BOUZNIKA"
residence_725,725,"ROMMANI"
residence_726,726,"SIDI ALLAL EL BAHRAOUI"
residence_727,727,"MOULAY DRISS AGHBAL"
residence_729,729,"DAR BEL AMRI"
residence_730,730,"BAHRAIN"
residence_731,731,"DAR EL-GUEDDARI"
residence_733,733,"ZIRARA"
residence_735,735,"AL HAOUAFATE"
residence_736,736,"SOUK EL ARBAA"
residence_737,737,"MOGRANE"
residence_738,738,"KARIA BEN-AOUDA"
residence_739,739,"SANAA"
residence_740,740,"BUENOS AIRES"
residence_741,741,"RENNES"
residence_742,742,"TLATA L-RHARB"
residence_743,743,"ATHENES"
residence_744,744,"STOKHOLM"
residence_745,745,"SIDI AMEUR EL HADI"
residence_746,746,"HAD KOURT"
residence_747,747,"HADDADA"
residence_748,748,"BANGUI"
residence_749,749,"JORF EL-MALHA"
residence_750,750,"SIDI MOHAMED LAHMAR"
residence_751,751,"MASQUIT"
residence_752,752,"KHEMISSET"
residence_753,753,"KHNICHET"
residence_754,754,"LALLA MIMOUNA"
residence_755,755,"MAAZIZ"
residence_756,756,"MECHRA BEL KSIRI"
residence_757,757,"SFASSIF"
residence_758,758,"SIDI ALLAL LAMSADDER"
residence_759,759,"MEHDYA"
residence_760,760,"BOUQACHMIR"
residence_761,761,"AIT YADINE"
residence_762,762,"MOQRISSAT"
residence_763,763,"MZEFROUNE"
residence_764,764,"NKHEILA"
residence_765,765,"AIT IKKOU"
residence_766,766,"LAGHOUALEM"
residence_767,767,"OUAD AKRECH"
residence_768,768,"OUEZZANE"
residence_769,769,"RHDIR LAKROUCH"
residence_770,770,"VIENNE"
residence_771,771,"OUTITA"
residence_772,772,"OULMES"
residence_773,773,"SIDI KACEM"
residence_774,774,"KENITRA"
residence_775,775,"MONTREAL"
residence_776,776,"RIO DE JANEIRO"
residence_777,777,"SALE"
residence_778,778,"SIDI ALLAL TAZI"
residence_779,779,"SOFIA"
residence_780,780,"MILANO"
residence_781,781,"NIAMEY"
residence_782,782,"NAIROBI"
residence_783,783,"SIDI BOUKNADEL"
residence_784,784,"SIDI YAHYA ZAER"
residence_785,785,"GUINEE EQUATORIALE"
residence_786,786,"DJIBOUTI"
residence_787,787,"MONTPELLIER"
residence_788,788,"MONROVIA"
residence_789,789,"SIDI REDOUANE"
residence_790,790,"SIDI SLIMANE"
residence_791,791,"SIDI YAHIA EL GHARB"
residence_792,792,"SKHIRATE"
residence_793,793,"SHOUL -ARBA-"
residence_794,794,"SOUK JEMAA -TIDDAS-"
residence_795,795,"AIT MIMOUNE"
residence_796,796,"BOUIRAT"
residence_797,797,"TIDDAS"
residence_798,798,"TEMARA"
residence_799,799,"TEROUAL"
residence_800,800,"TIFLET"
residence_801,801,"M'QAM TOLBA"
residence_802,802,"TILOUINE"
residence_803,803,"KHEMIS SIDI YAHYA"
residence_804,804,"AIN BEN TELLI"
residence_805,805,"ALGESIRAS"
residence_806,806,"DOHA"
residence_807,807,"ZOUMI"
residence_808,808,"ASSA"
residence_809,809,"SIDI BETTACHE"
residence_810,810,"ABIDJAN"
residence_811,811,"ABOU-DHABI"
residence_812,812,"ADDIS-ABEBA"
residence_813,813,"ALGER"
residence_814,814,"EZZHILIGA"
residence_815,815,"AMMAN"
residence_816,816,"ANKARA"
residence_817,817,"BOUMAIZ"
residence_818,818,"M'SAADA"
residence_819,819,"BAGHDAD"
residence_820,820,"HASSI BERKANE"
residence_821,821,"BAMAKO"
residence_822,822,"BRACHOUA"
residence_823,823,"BELGRADE"
residence_824,824,"RAS EL-MA"
residence_825,825,"BOUDINAR"
residence_826,826,"DAR EL KEBDANI"
residence_827,827,"BERNE"
residence_828,828,"NADOR"
residence_829,829,"BEYROUTH"
residence_830,830,"BONN"
residence_831,831,"EL AAROUI"
residence_832,832,"MNASRA"
